 ID taxon,species,nom allemand,nom francais,nom italien,priorite,menace,responsabilite,necessite de prendre des mesures,Necessite de surveiller les populations,connaissances suffisantes?,techniques connues?,Jura,Plateau
284900,Orobanche elatior Sutton,Flockenblumen-Wuerger,Orobanche elevee,v,3,EN,1,2,0,2,1,A,A
285100,Orobanche gracilis Sm.,Schlanke Sommerwurz,Orobanche grele,Succiamele rossastro,4,VU,1,1,1,1,0,A,A
285400,Orobanche laserpitii-sileris Jord.,Laserkraut-Sommerwurz,Orobanche du sermontain,Succiamele del laserpizio sermontano,4,NT,2,0,0,1,0,A,0
285600,Orobanche lucorum F. W. Schultz,Berberitzen-Sommerwurz,Orobanche de l'epine-vinette,Succiamele del crespino,3,EN,1,2,0,2,1,0,0
285700,Orobanche lutea Baumg.,Gelbe Sommerwurz,Orobanche jaune,Succiamele prataiolo,3,EN,1,2,0,2,1,A,A
286000,Orobanche picridis F. W. Schultz,Bitterkraut-Sommerwurz,Orobanche de la picride,Succiamele della aspraggine,2,CR,1,2,0,2,1,A,A
286100,Orobanche purpurea Jacq.,Violette Sommerwurz,Orobanche pourpre,Succiamele azzurro,4,VU,1,1,1,1,0,A,A
286200,Orobanche ramosa L.,aestige Sommerwurz,Orobanche rameuse,Succiamele ramoso,2,CR,1,2,0,2,1,D,C
286500,Orobanche salviae F. W. Schultz,Salbei-Sommerwurz,Orobanche de la sauge,Succiamele della salvia,3,EN,1,2,0,2,1,0,0
287000,Osmunda regalis L.,Koenigsfarn,Fougere royale,Felce florida,4,VU,1,1,1,1,0,0,D
288500,Oxytropis fetida (Vill.) DC.,Druesiger Spitzkiel,Oxytropis fetide,Astragalo vischioso,2,VU,3,1,0,1,0,0,0
289200,Oxytropis helvetica Scheele,Schweizerischer Spitzkiel,Oxytropis de Suisse,Astragalo di Gaudin,3,NT,3,0,0,1,0,0,0
289400,Oxytropis lapponica (Wahlenb.) J. Gay,Lapplaender Spitzkiel,Oxytropis de Laponie,Astragalo di Lapponia,4,LC,3,0,0,1,0,0,0
289500,Oxytropis neglecta Ten.,Suedalpiner Spitzkiel,Oxytropis neglige,Astragalo dei Pirenei,4,VU,1,1,0,1,0,0,0
290000,Paeonia officinalis L.,Pfingstrose,Pivoine officinale,Peonia selvatica,4,VU,1,1,1,2,1,0,0
290700,Papaver apulum Ten.,Apulischer Mohn,Pavot des Pouilles,Papavero pugliese,2,RE,1,99,0,0,0,0,0
290800,Papaver argemone L.,Sand-Mohn,Pavot argemone,Papavero selvatico,4,VU,1,1,0,1,0,B,B
291300,Papaver hybridum L.,Krummborstiger Mohn,Pavot hybride,Papavero spinoso,2,CR(PE),1,99,0,0,0,0,0
291600,Papaver occidentale (Markgr.) H. E. Hess & Landolt,Westlicher Alpen-Mohn,Pavot occidental,Papavero occidentale,3,NT,3,0,0,1,0,A,0
291900,Papaver sendtneri Hayek,Sendtners Alpen-Mohn,Pavot de Sendtner,Papavero di Sendtner,3,NT,3,0,0,1,0,0,0
293800,Pedicularis aspleniifolia Willd.,Farnblaettriges Laeusekraut,Pediculaire a feuilles d'asplenium,Pedicolare dei ghiaioni,3,NT,3,0,0,1,0,0,0
294300,Pedicularis gyroflexa Vill.,Bogenbluetiges Laeusekraut,Pediculaire arquee,Pedicolare spiralata,4,VU,1,1,0,1,0,0,0
294500,Pedicularis oederi Hornem.,Oeders Laeusekraut,Pediculaire d'Oeder,Pedicolare di Oeder,4,LC,3,0,0,1,0,0,0
295100,Pedicularis rostratospicata Crantz,Fleischrotes Laeusekraut,Pediculaire a bec et en epi,Pedicolare carnicina,4,LC,3,0,0,1,0,0,0
295300,Pedicularis sylvatica L.,Waldmoor-Laeusekraut,Pediculaire des forets,Pedicolare silvestre,4,VU,1,1,1,1,0,A,A
296760,Peucedanum austriacum subsp. rablense (Wulfen) Celak.,Raibler Haarstrang,Peucedan de Raible,Imperatoria del Raibl,3,VU,2,1,1,1,0,0,0
296800,Peucedanum carvifolia Vill.,Kuemmel-Haarstrang,Peucedan a feuilles de cumin,Imperatoria carvifoglia,4,VU,1,1,1,1,0,A,A
297600,Peucedanum venetum (Spreng.) W. D. J. Koch,Venezianischer Haarstrang,Peucedan de Venetie,Imperatoria veneta,4,VU,1,1,1,1,0,0,0
299800,Phleum paniculatum Huds.,Rispiges Lieschgras,Fleole paniculee,Codolina lima,3,EN,1,1,0,1,0,D,A
301300,Phyteuma hedraianthifolium Rich. Schulz,Raetische Rapunzel,Raiponce a feuilles d'edreanthe,Raponzolo rupestre,3,NT,3,1,0,1,0,0,0
301500,Phyteuma humile Gaudin,Niedrige Rapunzel,Raiponce naine,Raponzolo del Carestia,2,VU,3,1,1,1,0,0,0
