date,species,year,biogeo,canton,river,lot,forest,project,city,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel,locname,loc_date
2020-09-03,senecio-inaequidens,1,,,,,,,,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,hypericum-perforatum,1,,,,,,,,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,epilobium-dodonaei,1,,,,,,,,NT,NT,NT,Onagraceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,daucus-carota,1,,,,,,,,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,erigeron-annuus,1,,,,,,,,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,leucanthemum-vulgare,1,,,,,,,,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,centaurea-jacea,1,,,,,,,,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,echium-vulgare,1,,,,,,,,LC,LC,LC,Boraginaceae,X,X,X,X,X,X,X,X,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,galium-mollugo,1,,,,,,,,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,taraxacum-officinale,1,,,,,,,,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,ranunculus-acris,1,,,,,,,,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,clematis-vitalba,1,,,,,,,,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,X,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,dianthus-armeria,1,,,,,,,,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,X,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,senecio-inaequidens,1,,,,,,,,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,centranthus-ruber,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,X,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-09-03')"
