name,longitude,latitude
"Alexander-Moser-Strasse
box 3",7.251648,47.127228
"Alexander-Moser-Strasse
box 2",7.251714,47.127196
Erlacherweg-area-1,7.254304,47.129216
Brueggstrasse-box-12,7.253875,47.129969
-,-,-
muehlefeldweg-berm-1,7.253528,47.129997
"Freiburgstrasse
Box 7",7.247976,47.131922
"04-04
Alfred-aebi-strasse
box 2",7.251084,47.131993
"04-04
Alfred-aebi-strasse box 3",7.251162,47.132016
"04-04
Alfred-aebi-strasse
box 4",7.251253,47.132047
"04-04
Alfred-aebi-strasse
box 5",7.251372,47.13211
"Freiburgstrasse
Box 6",7.24836,47.132125
"03-04-21
Zukunftstrasse
Box 4",7.249353,47.132182
"Gewerberhofstrasse
Box 8",7.247273,47.132216
Freiburgstrasse-Madretschkanal-1,7.247572,47.13143
"03-04-21
Zukunftstrasse
Box 2",7.249685,47.131768
"Freiburgstrasse
Box 8",7.247604,47.131778
"04-04
Alfred-aebi-strasse
box 10",7.250812,47.131875
"03-04-21
Zukunftstrasse
Box 3",7.249624,47.131827
"03-04
Zunkunftstrasse
Box 1",layerId,7.2497774
Zukunftstrasse-Madretschkanal-1,7.249709,47.13164
"04-04
Alfred-aebi-strasse
box 1",7.250854,47.131912
-,-,-
Muehlefeldweg-area-1,7.248193,47.130417
Muehlefeldweg-Berm-2,7.250244,47.129984
Muehlefeldweg-Berm-3,7.249295,47.130177
Alfred-Aebi-Strasse-area-1,7.247879,47.130629
-,-,-
"Murtenstrasse
Madretschkanal 1",7.247148,47.130841
Alfred-aebi-strasse-box-12,7.248452,47.130914
"Keltenstrasse
Berm 2",7.246258,47.128738
"Murtenstrasse
Berm 2",7.246894,47.130964
"Alfred-Aebi-Strasse
box 11",7.246195,47.129776
"Alfred-Aebi-Strasse
Area 3",7.245998,47.129962
Alfred-Aebi-strasse-area-4,7.246571,47.130094
-,7.240927,47.130813
"Alfred-Aebi-Strasse
Area 2",7.245949,47.129776
"Murtenstrasse
Berm 1",7.246402,47.131107
"dr-schneider-strasse
area 1",7.2380719,47.1280318
"Grenzstrasse
Park 1",7.24639,47.128539
-,-,-
Keltenstrasse-Berm-1,7.245964,47.128419
Fl̦sserweg-area-1,7.238057,47.128437
Schloss-Nidau-Area-2,7.240484,47.128111
Erlenweg-forest-1,7.232464,47.126594
Erlenweg-lake-1,7.2321708,47.1268478
Schloss-Nidau-Area-6,7.238969,47.127312
Schloss-Nidau-Area-5,7.239713,47.127198
Schloss -Nidau-Area-4,7.239993,47.127342
Schloss-Nidau-Area-3,7.24027,47.127526
Schloss-Nidau-Area-7,7.239264,47.127586
Schloss-Nidau-Area 1,7.239546,47.128063
vorhoelzli-forest-5,7.2882761,47.1466042
vorhoelzli-forest-6,7.2895626,47.1550483
griendamm-forest-1,7.3274094,47.1355472
underwald-forest-1,7.3343031,47.1301932
underwald-forest-2,7.3374359,47.1283465
hoell-alte-aare,7.3369838,47.1437849
vinelz-lake-1,7.1076553,47.0385978
schalterrain-forest-3,7.116087,47.027928
schalterrain-forest-2,7.1343082,47.0246634
schalterrain-forest-1,7.1409778,47.0229985
ruisseau-de-vaux,7.0824702,47.0651489
muelau-forest-1,7.272508,47.0325892
aarberg-alte-aare-1,7.2744284,47.0384197
jaissberg-forest-1,7.2778169,47.1091915
jaissberg-forest-3,7.2739974,47.1120607
jaissberg-forest-2,7.2769156,47.1114255
laengholz-forest-10,7.2854114,47.133151
laengholz-forest-9,7.2872568,47.132224
au-vernet-suze-1,7.2371754,47.1882392
la-heutte-suze-2,7.2315204,47.1884969
frinvilier-ramp-1,7.2531592,47.169171
nidau-buren-kanal-1,7.2796188,47.120386
nidau-buren-kanal-2,7.2604687,47.1173051
nidau-buren-kanal-3,7.2685262,47.1158365
nidau-buren-kanal-4,7.2579626,47.1179623
obem-fuchsenried-forest-1,7.2634134,47.1559317
obem-fuchsenried-2,7.2597588,47.153104
schneidergaessli-madretschkanal-1,7.2515168,47.1339415
buerenstrasse-suze-7,7.2712956,47.1493964
buerenstrasse-suze-6,7.2700134,47.1517774
schuessinsel-kanal-7,7.263168,47.1443574
mettmoos-field-1,7.2774929,47.1382594
laengholz-forest-11,7.2781518,47.1375142
neumatt-field-1,7.2897449,47.1421848
neumatt-stream-1,7.2892716,47.141163
neumatt-stream-2,7.2898266,47.139688
laengholz-forest-12,7.2650476,47.1390266
laengholz-forest-13,7.2691626,47.1390783
laengholz-forest-14,7.2748918,47.1402661
vorhoelzli-forest-7,7.290663,47.1428892
zuerichstrasse-leugene-1,7.2983783,47.1622484
bifangmattenweg-leugene-1,7.300172,47.1647873
bifangmattenweg-forest-1,7.3025726,47.1653274
nidau-buren-kanal-5,7.2592699,47.1186446
nidau-buren-kanal-6,7.2655509,47.1166797
nidau-buren-kanal-7,7.2621335,47.1177287
mandschurei-forest-1,7.3127857,47.0971266
mandschurei-forest-3,7.3107687,47.0943402
mandschurei-forest-2,7.3108921,47.0959105
mueligrien-forest-1,7.3090518,47.1007265
lyssbach-forest-1,7.3110806,47.0889432
lyssbach-forest-2,7.3110496,47.0911114
austrasse-forest-1,7.2483729,46.9880169
austrasse-forest-2,7.2493315,46.9896759
austrasse-forest-3,7.2503185,46.9890063
-,7.451961,46.928352
pfeidli-forest-5,7.2724826,47.1232791
mooswaeldli-forest-1,7.2589317,47.1226284
mooswaeldli-forest-2,7.2579715,47.1228675
mooswaeldli-forest-3,7.2562334,47.1231066
buerenstrasse-suze-8,7.2713538,47.1503898
buerenstrasse-suze-9,7.2707342,47.1514093
scheuessinsel-suze-11,7.2645886,47.1442113
holunderweg-madretschkanal-6,7.256651,47.1407972
zukunftstrasse-madretschkanal-2,7.2500195,47.1317456
Alfred-aebi-strasse-area-5,7.2487978,47.1309325
saint-paulus-weg-area-1,7.2535741,47.1309508
muehlefeldweg-park-2,7.2541407,47.1296016
muehlefeldstrasse-berm-4,7.2522549,47.1299632
laengholz-forest-16,7.2641731,47.126607
Karl-Neuhaus-Strasse-park-1,7.242635,47.138736
frinvillier-suze-1,7.2489665,47.1717839
frinvillier-suze-2,7.2490708,47.1725573
taubenloch-suze-1,7.2672911,47.1536501
