Taxon ID InfoSpecies,groupe d'organisme,org. abrév., ID taxon,nom du taxon,Synonymes utiles,nom allemand,nom français,nom italien,priorité,menace,responsabilité,nécessité de prendre des mesures,nécessité de surveiller les populations,connaissances suffisantes?,techniques connues?,BE,JU
infoflora:34600,Gefässpflanzen,TRAC,34600,Anthemis arvensis L.,,Feld-Hundskamille,Anthémis des champs,Camomilla bastarda,4,VU,1,1,0,1,0,A,A
infoflora:34800,Gefässpflanzen,TRAC,34800,Anthemis cotula L.,,Stinkende Hundskamille,Anthémis cotule,Camomilla fetida,3,EN,1,1,0,1,0,A,D
infoflora:35000,Gefässpflanzen,TRAC,35000,Anthemis triumfettii (L.) DC.,,Trionfettis Hundskamille,Anthémis de Trionfetti,Camomilla di Trionfetti,4,VU,1,1,1,1,0,0,D
infoflora:35600,Gefässpflanzen,TRAC,35600,Anthriscus caucalis M. Bieb.,,Gemeiner Kerbel,Cerfeuil à poils crochus,Cerfoglio lappola,4,VU,1,1,1,1,0,0,C
infoflora:35700,Gefässpflanzen,TRAC,35700,Anthriscus cerefolium (L.) Hoffm.,,Garten-Kerbel,Cerfeuil cultivé,Cerfoglio comune,4,VU,1,1,0,1,0,A,C
infoflora:35980,Gefässpflanzen,TRAC,35980,Anthriscus sylvestris subsp. stenophyllus (Rouy & E. G. Camus) Briq.,,Schmalzipfliger Wiesen-Kerbel,Cerfeuil des prés à feuilles étroites,Cerfoglio selvatico a foglie sottili,1,EN,3,2,2,2,1,0,A
infoflora:36395,Gefässpflanzen,TRAC,36395,Anthyllis montana L.,,Berg-Wundklee,Anthyllide des montagnes,Vulneraria montana,4,VU,1,1,0,1,0,0,0
infoflora:37200,Gefässpflanzen,TRAC,37200,Anthyllis vulneraria subsp. polyphylla (DC.) Nyman,,Steppen-Wundklee,Anthyllide à feuilles nombreuses,Vulneraria delle steppe,4,VU,1,1,1,1,0,0,0
infoflora:37300,Gefässpflanzen,TRAC,37300,Anthyllis vulneraria subsp. valesiaca (Beck) Guyot,,Cherlers Wundklee,Anthyllide du Valais,Vulneraria del Vallese,4,LC,3,0,0,1,0,C,0
infoflora:37800,Gefässpflanzen,TRAC,37800,Apera interrupta (L.) P. Beauv.,,Unterbrochener Windhalm,Apéra interrompue,Cappellini sottili,3,EN,1,1,0,1,0,A,0
infoflora:38500,Gefässpflanzen,TRAC,38500,Apium nodiflorum (L.) Lag.,,Knotenblütiger Eppich,Ache nodiflore,Sedano d'acqua,2,CR,1,2,2,2,1,0,0
infoflora:38600,Gefässpflanzen,TRAC,38600,Apium repens (Jacq.) Lag.,,Kriechender Eppich,Ache rampante,Sedano strisciante,2,CR,1,2,2,1,0,A,0
infoflora:38800,Gefässpflanzen,TRAC,38800,Aquilegia alpina L.,,Alpen-Akelei,Ancolie des Alpes,Aquilegia maggiore,4,NT,2,0,1,1,0,A,0
infoflora:39000,Gefässpflanzen,TRAC,39000,Aquilegia einseleana F. W. Schultz,,Einseles Akelei,Ancolie de Einsele,Aquilegia di Einsele,2,VU,3,1,1,1,0,0,0
infoflora:40300,Gefässpflanzen,TRAC,40300,Arabis collina Ten.,,Mauer-Gänsekresse,Arabette des collines,Arabetta collinare,4,VU,1,1,0,1,0,A,0
infoflora:41000,Gefässpflanzen,TRAC,41000,Arabis nemorensis (Hoffm.) W. D. J. Koch,,Flachschotige Gänsekresse,Arabette à silique plane,Arabetta dei boschi,2,CR,1,2,2,2,1,C,0
infoflora:41600,Gefässpflanzen,TRAC,41600,Arabis sagittata (Bertol.) DC.,,Pfeilblättrige Gänsekresse,Arabette sagittée,Arabetta saettata,4,VU,1,1,1,1,0,A,0
