Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,descript_1,type,htmlpopup,layerId,xcoord,ycoord
Bermenstrasse-Berm-3,Surveyed berm opposite the plots of land between the two streets.,,,,,-1,0,-1,,,,marker,,,2586337.45796071,1219846.08532703
"Portstrasse
Area 2","survey area between sidewalk and fence, bounded by sidewalk to the same first tree in area 1
03-05-2021",,,,,-1,0,-1,,,,marker,,,2586350.47832807,1219570.00768001
erlacherweg-park-5,22-05-20221,,,,,-1,0,-1,,,,marker,,,2586339.88172204,1219351.239785
Mooswaeldli-Area-2,"survey area between trees and sidewalk, on left side of path leading out of forest, extending left about 3 meters.
25-03-2021",,,,,-1,0,-1,,,,marker,,,2586365.87721462,1219107.15088695
Mooswaeldi-area-1,"10 meters from end of slop toward biel, between bike path and highway
25-03-2021
22-05-2021",,,,,-1,0,-1,,,,marker,,,2586366.07457049,1219126.93956336
"Portplatz
Box 3","survey area is between moosweg and portstrasse until shed/stairs.
05-04-2021",,,,,-1,0,-1,,,,marker,,,2586344.4915989,1219606.15336808
"Portstrasse
Area 1","survey area between road and sidewalk, bounded by shrub, down to first tree.
03-05-2021",,,,,-1,0,-1,,,,marker,,,2586343.26519788,1219567.91199769
"Portplatz
Box 2","survey area is this bit of grass and shrubbery planted in between the road.
05-04-2021
19-05-2021",,,,,-1,0,-1,,,,marker,,,2586328.87605865,1219612.63757475
Brueggstrasse-Area-1,05-04-2021,,,,,-1,0,-1,,,,marker,,,2586081.26464633,1219859.13399238
Lokomotivdepot-area-1,04-04-21,,,,,-1,0,-1,,,,marker,,,2586189.87648802,1219907.68538381
Lokomotivdepot-area-2,04-04-2021,,,,,-1,0,-1,,,,marker,,,2586168.2760776,1219917.63041642
Lokomotivdepot-berm-2,"26-03-2021
survey area includes about 5 meters of hedgerow and undergrowth on the right, about 5 meters on the left and about 5 meters into the train tracks.
26-03-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(Lokomotivdepot
berm 2)</div><div>26-03-2021
survey area includes about 5 meters of hedgerow and undergrowth on the right, about 5 meters on the left and about 5 meters into the train tracks.
26-03-2021</div></div>",KML||https://public.geo.admin.ch/7erVQ2UGSKmRi0t2CVQHow,2586056.04546535,1219923.97508371
Lokomotivdepot-berm-1,"the entirety of the berm area on this side of the road
04-04-2021
23-05-2021",,,,,-1,0,-1,,,,marker,,,2586028.41232535,1219936.636398
Blumenrain-Area-1,04-04-2021,,,,,-1,0,-1,,,,marker,,,2586142.54097748,1220203.07715687
"Madretschstrasse
Box 8","survey area is the 1st planted area by the bus stop.
05-04-2021",,,,,-1,0,-1,,,,marker,,,2586029.57198257,1220331.41658597
Alleestrasse-Area-1,,,,,,-1,0,-1,,,,marker,,,2586034.9813014,1220373.20568934
Erlacherweg-park-1,"shrubby area surrounded by concrete/gravel
12-04-2021",,,,,-1,0,-1,,,,marker,,,2586106.96403241,1219720.66065416
Brueggstrasse-Box-3,03-04-2021,,,,,-1,0,-1,,,,marker,,,2586176.6317983,1219759.40877147
Brueggstrasse-Box-4,03-04-2021,,,,,-1,0,-1,,,,marker,,,2586160.42935228,1219774.23292361
Erlacherweg-park-2,"shrubby area surrounded by concrete/gravel
11-04-2021",,,,,-1,0,-1,,,,marker,,,2586120.24284337,1219720.96302
Reckweg-Zihlkanal-2,"Survey area is the first three beaches/berm after heidweg meets ruckweg
25-03-2021",,,,,-1,0,-1,,,,marker,,,2586047.68191294,1219034.62822734
Reckweg-Forest -1,"Survey area was clearing from the trees (pine trees in swisstopo map all cut done)
25-03-2021",,,,,-1,0,-1,,,,marker,,,2586091.36356179,1218926.12991201
"Reckweg
Zihlkanal 1","Survey area is bank of canal and roadside about 7 meters long 4 meters wide, see photos for clarifications
25-03-2021",,,,,-1,0,-1,,,,marker,,,2586029.38089701,1219061.24219673
Reckweg-Forest-2,"survey area is forest area between sidewalk, heidweg and fence, about 5 meters along path.
25-03-2021",,,,,-1,0,-1,,,,marker,,,2586052.96029428,1219052.62611898
Reckweg-Zihlkanal-3,,,,,,-1,0,-1,,,,marker,,,2586065.11853472,1218995.34241475
