,date,place,species,year,loc_date,location,place_copy,places,places1,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel
79,18.06.2020,boujean 3,crepis-capillaris,1,"('boujean 3', '18.06.2020')",b,boujean 3,boujean-3,buerenstrasse-suze-1,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
80,18.06.2020,boujean 3,potentilla-reptans,1,"('boujean 3', '18.06.2020')",b,boujean 3,boujean-3,buerenstrasse-suze-1,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,X,biel
81,18.06.2020,boujean 3,senecio-inaequidens,1,"('boujean 3', '18.06.2020')",b,boujean 3,boujean-3,buerenstrasse-suze-1,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel
82,18.06.2020,boujean 3,cichorium-intybus,1,"('boujean 3', '18.06.2020')",b,boujean 3,boujean-3,buerenstrasse-suze-1,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
83,18.06.2020,boujean 3,erigeron-annuus,1,"('boujean 3', '18.06.2020')",b,boujean 3,boujean-3,buerenstrasse-suze-1,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel
84,2020-09-03,buren 1,lavandula-angustifolia,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,X,X,X,X,X,X,X,X,X,X,ni,X,biel
85,2020-09-03,buren 1,eupatorium-cannabinum,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,X,biel
86,2020-09-03,buren 1,cichorium-intybus,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
87,2020-09-03,buren 1,vicia-sepium,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
88,2020-09-03,buren 1,trifolium-pratense,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
89,2020-09-03,buren 1,lotus-corniculatus,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
90,2020-09-03,buren 1,solidago-canadensis,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,X,X,X,X,X,X,BL,ODE,X,X,X,cdf,biel
91,2020-09-03,buren 1,hypericum-perforatum,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel
