date,place,species,year,loc_date
2020-09-03,buren 1,taraxacum-officinale,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,ranunculus-acris,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,clematis-vitalba,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,dianthus-armeria,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 1,senecio-inaequidens,1,"('buren 1', '2020-09-03')"
2020-09-03,buren 2,centranthus-ruber,1,"('buren 2', '2020-09-03')"
2020-09-03,buren 2,cichorium-intybus,1,"('buren 2', '2020-09-03')"
2020-09-03,buren 2,chelidonium-majus,1,"('buren 2', '2020-09-03')"
2020-09-03,buren 2,cornus-sanguinea,1,"('buren 2', '2020-09-03')"
2020-09-03,buren 2,verbena-officinalis,1,"('buren 2', '2020-09-03')"
2020-08-04,buren 2,potentilla-reptans,1,"('buren 2', '2020-08-04')"
2020-08-04,buren 2,bryonia-dioica,1,"('buren 2', '2020-08-04')"
2020-08-04,buren 2,sorbus-aucuparia,1,"('buren 2', '2020-08-04')"
2020-08-04,buren 2,sambucus-nigra,1,"('buren 2', '2020-08-04')"
2020-08-04,buren 2,echium-vulgare,1,"('buren 2', '2020-08-04')"
2020-08-04,buren 2,silene-latifolia,1,"('buren 2', '2020-08-04')"
2020-08-04,buren 2,cichorium-intybus,1,"('buren 2', '2020-08-04')"
2020-08-04,buren 2,geranium-robertianum,1,"('buren 2', '2020-08-04')"
2020-08-04,buren 2,urtica-dioica,1,"('buren 2', '2020-08-04')"
2020-08-04,buren 2,sambucus-nigra,1,"('buren 2', '2020-08-04')"
2020-08-07,buren 2,geranium-pyrenaicum,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,melilotus-albus,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,echium-vulgare,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,senecio-inaequidens,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,lavandula-angustifolia,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,trifolium-pratense,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,daucus-carota,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,clematis-vitalba,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,hypericum-perforatum,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,eupatorium-cannabinum,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,solidago-canadensis,1,"('buren 2', '2020-08-07')"
2020-08-07,buren 2,epilobium-dodonaei,1,"('buren 2', '2020-08-07')"
2020-09-03,buren 3,cornus-sanguinea,1,"('buren 3', '2020-09-03')"
2020-09-03,buren 3,rubus-rubus,1,"('buren 3', '2020-09-03')"
2020-09-03,buren 3,rubus-armeniacus,1,"('buren 3', '2020-09-03')"
2020-09-03,buren 3,erigeron-annuus,1,"('buren 3', '2020-09-03')"
2020-09-28,cff lot 1,knautia-arvensis,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,polygonum-aviculare,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,trifolium-pratense,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,rubus-rubus,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,lamium-maculatum,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,sonchus-oleraceus,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,mentha-spicata,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,galeopsis-tetrahit,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,galium-mollugo,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,cornus-sanguinea,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,urtica-dioica,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,artemisia-vulgaris,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 1,erigeron-annuus,1,"('cff lot 1', '2020-09-28')"
2020-09-28,cff lot 2,medicago-lupulina,1,"('cff lot 2', '2020-09-28')"
2020-09-28,cff lot 2,parthenocissus-quinquefolia,1,"('cff lot 2', '2020-09-28')"
2020-09-28,cff lot 2,medicago-sativa,1,"('cff lot 2', '2020-09-28')"
2020-09-28,cff lot 2,galium-mollugo,1,"('cff lot 2', '2020-09-28')"
2020-09-28,cff lot 2,malus-sylvestris,1,"('cff lot 2', '2020-09-28')"
2020-09-28,cff lot 2,rubus-rubus,1,"('cff lot 2', '2020-09-28')"
2020-09-28,cff lot 2,eupatorium-cannabinum,1,"('cff lot 2', '2020-09-28')"
2020-09-28,cff lot 2,erigeron-annuus,1,"('cff lot 2', '2020-09-28')"
2020-09-28,cff lot 2,trifolium-pratense,1,"('cff lot 2', '2020-09-28')"
2020-09-28,cff lot 2,solidago-canadensis,1,"('cff lot 2', '2020-09-28')"
